stationId,timestamp,arrivals
228137,2015-03-17 12:00:00,1
228137,2015-03-17 15:00:00,0
228137,2015-03-17 18:00:00,0
228137,2015-03-17 21:00:00,0
228137,2015-03-18 00:00:00,0
228137,2015-03-18 03:00:00,0
228137,2015-03-18 06:00:00,0
228137,2015-03-18 09:00:00,0
228137,2015-03-18 12:00:00,0
228137,2015-03-18 15:00:00,0
228137,2015-03-18 18:00:00,0
228137,2015-03-18 21:00:00,0
228137,2015-03-19 00:00:00,0
228137,2015-03-19 03:00:00,0
228137,2015-03-19 06:00:00,0
228137,2015-03-19 09:00:00,0
228137,2015-03-19 12:00:00,0
228137,2015-03-19 15:00:00,0
228137,2015-03-19 18:00:00,0
228137,2015-03-19 21:00:00,0
228137,2015-03-20 00:00:00,0
228137,2015-03-20 03:00:00,0
228137,2015-03-20 06:00:00,0
228137,2015-03-20 09:00:00,0
228137,2015-03-20 12:00:00,0
228137,2015-03-20 15:00:00,0
228137,2015-03-20 18:00:00,0
228137,2015-03-20 21:00:00,0
228137,2015-03-21 00:00:00,0
228137,2015-03-21 03:00:00,0
228137,2015-03-21 06:00:00,0
228137,2015-03-21 09:00:00,0
228137,2015-03-21 12:00:00,0
228137,2015-03-21 15:00:00,0
228137,2015-03-21 18:00:00,0
228137,2015-03-21 21:00:00,0
228137,2015-03-22 00:00:00,0
228137,2015-03-22 03:00:00,0
228137,2015-03-22 06:00:00,0
228137,2015-03-22 09:00:00,0
228137,2015-03-22 12:00:00,0
228137,2015-03-22 15:00:00,0
228137,2015-03-22 18:00:00,0
228137,2015-03-22 21:00:00,0
228137,2015-03-23 00:00:00,0
228137,2015-03-23 03:00:00,0
228137,2015-03-23 06:00:00,0
228137,2015-03-23 09:00:00,0
228137,2015-03-23 12:00:00,0
228137,2015-03-23 15:00:00,0
228137,2015-03-23 18:00:00,0
228137,2015-03-23 21:00:00,0
228137,2015-03-24 00:00:00,0
228137,2015-03-24 03:00:00,0
228137,2015-03-24 06:00:00,0
228137,2015-03-24 09:00:00,0
228137,2015-03-24 12:00:00,0
228137,2015-03-24 15:00:00,0
228137,2015-03-24 18:00:00,1
228137,2015-03-24 21:00:00,0
228137,2015-03-25 00:00:00,0
228137,2015-03-25 03:00:00,0
228137,2015-03-25 06:00:00,0
228137,2015-03-25 09:00:00,0
228137,2015-03-25 12:00:00,1
228137,2015-03-25 15:00:00,0
228137,2015-03-25 18:00:00,0
228137,2015-03-25 21:00:00,0
228137,2015-03-26 00:00:00,0
228137,2015-03-26 03:00:00,0
228137,2015-03-26 06:00:00,0
228137,2015-03-26 09:00:00,0
228137,2015-03-26 12:00:00,0
228137,2015-03-26 15:00:00,0
228137,2015-03-26 18:00:00,0
228137,2015-03-26 21:00:00,0
228137,2015-03-27 00:00:00,0
228137,2015-03-27 03:00:00,0
228137,2015-03-27 06:00:00,0
228137,2015-03-27 09:00:00,0
228137,2015-03-27 12:00:00,0
228137,2015-03-27 15:00:00,0
228137,2015-03-27 18:00:00,0
228137,2015-03-27 21:00:00,0
228137,2015-03-28 00:00:00,0
228137,2015-03-28 03:00:00,0
228137,2015-03-28 06:00:00,0
228137,2015-03-28 09:00:00,0
228137,2015-03-28 12:00:00,0
228137,2015-03-28 15:00:00,0
228137,2015-03-28 18:00:00,0
228137,2015-03-28 21:00:00,0
228137,2015-03-29 00:00:00,0
228137,2015-03-29 03:00:00,0
228137,2015-03-29 06:00:00,0
228137,2015-03-29 09:00:00,0
228137,2015-03-29 12:00:00,0
228137,2015-03-29 15:00:00,0
228137,2015-03-29 18:00:00,0
228137,2015-03-29 21:00:00,0
228137,2015-03-30 00:00:00,0
228137,2015-03-30 03:00:00,0
228137,2015-03-30 06:00:00,0
228137,2015-03-30 09:00:00,0
228137,2015-03-30 12:00:00,0
228137,2015-03-30 15:00:00,0
228137,2015-03-30 18:00:00,0
228137,2015-03-30 21:00:00,0
228137,2015-03-31 00:00:00,0
228137,2015-03-31 03:00:00,0
228137,2015-03-31 06:00:00,0
228137,2015-03-31 09:00:00,0
228137,2015-03-31 12:00:00,0
228137,2015-03-31 15:00:00,0
228137,2015-03-31 18:00:00,0
228137,2015-03-31 21:00:00,0
228137,2015-04-01 00:00:00,0
228137,2015-04-01 03:00:00,0
228137,2015-04-01 06:00:00,0
228137,2015-04-01 09:00:00,0
228137,2015-04-01 12:00:00,0
228137,2015-04-01 15:00:00,1
228137,2015-04-01 18:00:00,0
228137,2015-04-01 21:00:00,0
228137,2015-04-02 00:00:00,0
228137,2015-04-02 03:00:00,0
228137,2015-04-02 06:00:00,0
228137,2015-04-02 09:00:00,0
228137,2015-04-02 12:00:00,0
228137,2015-04-02 15:00:00,0
228137,2015-04-02 18:00:00,0
228137,2015-04-02 21:00:00,0
228137,2015-04-03 00:00:00,0
228137,2015-04-03 03:00:00,0
228137,2015-04-03 06:00:00,0
228137,2015-04-03 09:00:00,0
228137,2015-04-03 12:00:00,0
228137,2015-04-03 15:00:00,0
228137,2015-04-03 18:00:00,0
228137,2015-04-03 21:00:00,0
228137,2015-04-04 00:00:00,0
228137,2015-04-04 03:00:00,0
228137,2015-04-04 06:00:00,0
228137,2015-04-04 09:00:00,0
